athlete_id,reason,philosophy
1535252,she was invited to try the sport by a rowing club president where im from we have a beautiful place to row called la boca dam in santiago mexico the club president visited the school and invited us to try at first i was afraid that i wouldnt be able to but eventually i fell in love with this sport,as long as you are there anything can happen
1535260,"",""
1535267,"",""
1535310,during winter she could not play football  in the cold weather so her parents took her to a gymnastics club wanted to be a gymnast after the first training session,""
1535343,"",""
1535345,"",""
1535346,"",""
1535348,"",""
1535349,"",""
1535350,"",""
1535351,"",after what happened to me  i feel an obligation to be happy its your will your spirit your determination your power that turns a thing like this into something good instead of something that goes against you
1535354,as a child he was diagnosed with asthma and was encouraged to swim to help the condition,""
1535356,her mother enrolled her in the sport,keep going and if you fall learn why you fell and get back up when you get out of your comfort zone you confirm you are capable of achieving more than you believed
1535357,her parents enrolled her because she was so energetic i was jumping everywhere to the point that my parents didnt know how to control that restlessness so i was taken to exploit my energy at a small artistic gymnastics gym i ended up falling in love with the sport,success is not an accident it is hard work perseverance learning studying sacrifice and above all love for what you are doing
1535358,"",""
1535359,she had been training in athletics but when she saw rhythmic gymnasts training in xalapa mexico their flexibility caught her attention and she decided to take up the sport,""
1535360,"",""
1535361,"",""
1535362,"",""
1535363,his parents were still studying when they raised him and his older brother ismail they found a pentathlon club where they could leave the boys when they were finished school at 3pm until they picked them up at 8pm each day after finishing their work later emiliano followed ismael into the sport fulltime,""
1535364,followed his siblings into the sport and later moved to mexico city  to train at the mexican olympic committee national centre at age 20,a lifetime of effort for a day of perfection
1535365,"",""
1535366,he began taekwondo to lose weight when i was a teenager my weight was a problem i weighed 100kg i needed to exercise for health reasons taekwondo caught my attention when i saw  maria espinoza win her gold medal at the 2008 olympic games in beijing that convinced me that i should get into the sport to control my weight now i have made it my way of life,the key to success is to enjoy what you do as well as the moment you are living in and that is what i have done
1535367,"",seize the moment do not fear to fail
1535368,"",""
1535373,his father took him to judo,be honest and decent and youll do well in life
1535374,"",""
1535375,"",""
1535376,i live by this and love this method,never give up my life is sport and i will give my youth to this sport for the rest of my life in order to achieve my goal
1535383,as a child she liked taking on boys at mongolian wrestling and this influenced her a path,""
1535385,needed to channel his energy and wanted to compete in a sport with values,""
1535395,she enjoyed going cycling with her father and later decided to pursue the sport competitively after discovering there was a national team in the united arab emirates i got into cycling in an unexpected way when in school i did swimming gymnastics and some athletics ive collected medals in swimming and gymnastics but unfortunately the age category was only up to the junior category there wasnt a competitive senior league i had to give up swimming and that upset me but around that time i found out a new uae womens cycling team was being formed i was interested in cycling because i did it as a fun activity with my father,passion over perfection
1535420,grew up close to an archery range and was always interested but her parents did not have the money to pay for equipment one day her sister fell off her bike at the velodrome nearby and valencia took the chance to talk to national team coach miguel angel flores about her interest in archery flores gave her a bow and let her practise at the range i dont consider archery to be a sport but as a part of me because even if i wanted to i cannot stop doing it on occasions ive tried  to experience how it feels but i felt awful,""
1535429,she followed her brothers into archery,""
1535430,his father introduced him to the sport and the more he shot the more interested he became in archery,""
1535433,she picked cycling as her chosen sport because it was the duathlon discipline she enjoyed the most,""
1535438,his friend invited him to a training camp with his current coach blas ruiz,""
1535439,she started the sport after she watched her father participate at the london 2012 olympic games my dad inspired me to do it,small actions big results everything is on the day to day small habits that you stick to
1535440,her father and grandfather were competitive shooters and she spent a lot of time as a child at the jalisco cinegetic shooting club,""
1535441,a friend encouraged him to try shooting,perseverance is the most important virtue for an athlete
1535442,he practised football when he was younger and dreamt of making it to the international stage until he discovered triathlon in 2012 i wanted to do both sports and i tried but it was when the injuries  started so i opted for triathlon the decision was not an easy one he said a life in football was just not meant to be for him life told me its not in this sport but maybe something else will come thats how i discovered triathlon thanks to those small lessons failures or defeats  i became what i am now but with a clearer goal and more maturity now i know what im going for and i know what im facing,""
1535444,grew up on an adventure and rafting park in tlapacoyan mexico i have always been on the water and it has become my passion i love the way i feel when i paddle the community and it makes my dreams become bigger every time,die exhausted live radical
1535448,she was successful in swimming karate chess football and basketball before settling on paddling she did it initially for fun but became more involved,""
1535449,she paddled with her family for fun in monterrey,""
1535505,"",""
1535506,"",""
1535511,"",""
1535512,her family were involved in athletics and she was motivated by the chance to travel the world,""
1535513,"",continue working for your dreams because dreams can come true
1535514,"",""
1535522,a classmate told her there was a community boxing gym around the corner from her house so she started training there she won the christmas cup in the bogota boxing league attracting the attention of alexander brand the 2003 pan american games bronze medallist  he took her to her first national championship where she won gold and earned a callup to the colombian national team,i am a warrior and a fighter if i like something i work hard to get it
1535524,"",""
1535609,"",""
1535660,to improve her living conditions,""
1535693,his father opened a riding school in 2009 i was six and accompanied my father to the riding school almost every day i loved the horses and wanted to start riding nobody asked me to do it but i had a passion to ride horses,be patient and be confident in yourself
1535729,"",the reward is always greater than any effort
1535766,"",""
1535776,"",""
1535804,"",""
1535805,"",""
1535852,he skied when he was very young in switzerland but then his parents started a dive resort in sulawesi indonesia where his father introduced him to kiteboard that turned into competitive kitesurfing on the beach,it is only those who have won with integrity and care over an extended period of time who have become universally regarded as successful  jackie stewart
1535853,his father and siblings were sailors he started as a way to spend time with his siblings and they became a source of motivation by age nine he was competing drawn to the thrill of competition the elements and the changing variables of the sport,""
1535854,"",""
1535856,parents wanted him to learn to swim for safety i wasnt very interested in it at first but i realised it was not bad going swimming instead of staying home then i got into swimming and enjoyed it,if you are determined and work hard singlemindedly you can achieve your goal
1535858,i actually love my events because i saw that i was good at it and i could get better it is also the two shortest events but i do love the 4x400 relay as well as thats a team effort,its definitely not easy but the best things in life never are
1535910,"",""
1535913,"",""
1535914,"",""
1535916,"",""
1535918,wanted to try a different sport,no matter what you do give your very best
1535925,"",""
1535926,her mother encouraged her to take up the sport when i was a child i was naughty and could not sit still so my mother sent me to a sailing training session with my older siblings at school i was active in multiple sports but my mother just wanted me to focus on sailing,nothing is more powerful than your conviction to achieve what your heart truly desires
1535927,"",""
1535928,"",""
1535929,"",""
1535930,"",""
1535959,"",""
1535993,i loved horses and we started riding as a family bonding event,""
1536032,she had worked several jobs in a shoe shop a cafe and in a factory that made toy animals starting while studying at secondary school invited to run a race in valle de bravo in her home state at age 19 she won it and received prize money i then started to research about the athletic competitive system and realised i could earn some income doing something i enjoy so i stopped working and started looking for a coach,""
1536045,"",everyone has an addiction my addiction is success
1536058,"",you are only one step away from success keep going never give up
1536064,"",""
1536067,"",i never give up sometimes i lose but i never get tired i come back as strong as possible
1536157,"",""
1536175,"",""
1536184,"",""
1536190,mother enrolled the three girls for swimming lessons,""
1536196,"",""
1536197,"",""
1536198,"",""
1536207,started wrestling first but then his cousin took him climbing he gradually became interested and now his life depends on it,there is only one path to success and that is hard work
1536214,his father a former table tennis player was his first coach when he realised his sons had potential he decided to send them to train under a better coach in tehran islamic republic of iran,achieve the top titles with hard work and keep going as far as you can
1536215,"",""
1536233,his nephew encouraged him,""
1536251,"",never lose hope
1536341,his father played and took him to the course,you are the only person on earth who can use your ability  usa author zig ziglar
1536368,"",""
1536371,introduced to it by his father,""
1536372,while living in addis ababa with his elder brother near the federal police camp in kolfe he noticed a running track that sparked his ambition to become a runner he joined the kolfe project training center and participated in local competitions showing promising results he gained admission to the ethiopian sports academy in his first international experience at the 2021 world u20 championships he was disqualified in the heats of the 800m for a lane infringement he was more successful at the 2022 edition claiming gold in the 800m and silver in the 1500m,""
1536460,he was inspired by the disney animated movie robin hood,""
1536467,"",""
1536479,started archery after she got injured playing american football at age 11 but her mother had recognised her talent at a young age when she won a shooting game at a carnival,""
1536494,"",""
1536495,"",""
1536496,"",""
1536497,"",""
1536498,her brother pushed her to join the tirunesh dibaba academy having lost her father at age one she was the last child at home after all her siblings got married she didnt want to leave her mother alone while still in school my brother asked me how staying home would help our mother he encouraged me to take the chance and pursue running when he said he wouldnt talk to me again if i didnt go i reluctantly agreed,""
1536522,first became interested in golf after hearing crowds cheering at a nearby course while at a restaurant with her family her parents encouraged her to pursue the sport my parents and i started learning golf at the same time when i was five years old it was just a weekend activity that we could do as a family but i really liked it and wanted to learn and play more i liked the fact that golf was an individual sport each day was a different experience and thats what kept me interested as i never got bored with the game as a child,qualities like honesty integrity and being passionate about the sport help bring out the best in a great golfer
1536523,she and her brother yogesh both born with a hearing impairment were introduced to the sport by their father a colonel in the indian army his military service gave the family access to golf facilities  her father made her believe she could be a championi love to play the sport but  no one was ready to provide coaching so my dad became my coach despite his job he coached me and my brother i could not have played alone so he coached yogesh too i hardly had any friends besides my family golf is my life,it is important to work hard and take advantage of the chances were offered there is always opportunity in adversity so use it
1536568,while staying in addis ababa ethiopia with his brother who lived and worked near tor hailoch he noticed children from the omedla club running confident in his abilities from school sports he believed he could outrun them his brother approached the coach who allowed him to run a lap impressed the coach suggested that he start training with them after some time he transitioned to the kolfe subcity club and was later approached by oromia waterworks  despite having had to pull out of the ethiopian championships due to injuryhe almost gave up running after missing the opportunity to compete at the 2022 world u20 championships in cali but those around him encouraged him not to quit,""
1536585,"",""
1536599,he followed his sister into the sport,""
1536600,"",""
1536624,"",""
1536632,"",""
1536648,followed his older brother loh kean hean into the sport they used to play using the front gate of their family home as a net,""
1536649,"",""
1536650,"",""
1536651,"",i believe that our talent is gods gift to us and what we do with it is our gift to god
1536669,"",""
1536683,brin middle school her gym teacher insisted she participate in a running competition even though she was reluctant she broke the isfahan provincial record sparking her passion for athletics,""
1536701,coach ahmad ramezanzadeh introduced him to the sport,athletics and sprinting are full of technique you have to reach your maximum fitness and all these techniques must be used subconsciously because there is no opportunity to think and decide in 10 seconds that is why it takes many years for these techniques to be instilled in an athlete this makes athletics appealing and means a lot of countries invest in it
1536721,a coach at the indian armys bengal engineer group suggested he begin rowing due to his height,""
1536885,a versatile athlete running 100m to 5000m she initially focused on the high jump started doing triple jump to score points for her school  kimberley williams introduced me to it and for a long while i couldnt understand how to hop step and jump at the same time but once i got the hang of it i won a carifta games title ive never looked back,""
1536925,"",""
1536961,he followed his brother into the sport my main motivation was my brother before i got into weightlifting my family was already familiar with the field i think if it hadnt been for my brother i would end up in provincial weightlifting or even the wrestling premier league,""
1536971,"",""
1536983,was drawn to the sport after watching great ethiopian athletes such as derartu tulu tirunesh dibaba and meseret defar while growing up,""
1536990,"",""
1536992,"",""
1536996,"",life without ups and downs has no meaning it is the pain that prepares you for great things
1536997,residents of his hometown of moundongo along the alima river learn to swim from birth in 2008 his father sent him to the capital brazzaville for better training opportunities,""
1536998,hearing about the achievements of local runner hagos gebrhiwet  helped inspire him and he also had the support of his family and a coach at school,""
1536999,"",""
1537001,his teachers recommended he switch from football i used to play football but my teachers told me to focus my natural talent on running my father did not like this he thought sport would distract me from my education i accepted my fathers advice but continued training without telling him i wasnt convinced of my own ability until i won a 10000m race in our school beating even the experienced runners i said to myself i could actually be good at this,""
1537002,"",""
1537010,"",""
1537012,was inspired to try the sport after watching indian weightlifter kunjarani devi i was baffled at how she was lifting such heavy weights so i told my parents that i wanted to do this and with some reluctance they agreed,initially i performed well and started competing at higherlevel tournaments which is when i realised that in order to excel i needed to put in more hard work and sacrifices it was this desire to be the best that led me to being a professional in this sport
1537049,"",""
1537052,i loved running at school i ran with friends and i was not only good at the sport but it was fun that secondplace finish  gave me the belief and encouragement i needed and i progressed to a regional level i run for several reasons  it allows me to live a healthy life it is good for mental development and it has transformed my life by making me prosperous,""
1537053,brdeveloped the habit of running while helping his family as a shepherd,""
1537057,his mother wanted him to follow in his uncles footsteps and become a runner,""
1537066,"",""
1537069,took up running at school while playing volleyball she noticed a running training session on the side at the suggestion of a friend she decided to join them,""
1537079,"",""
1537135,"",""
1537137,"",""
1537144,"",""
1537145,"",""
1537149,"",""
1537150,"",""
1537163,he was inspired to start shooting with a compound bow after hunting trips with his father and watching him shoot in competitions damour switched to recurve in 2017 so that he would have a chance to go to an olympic games i didnt see much future in shooting the compound i realised that the olympics is a big thing i could do and i wanted to be there,""
1537168,"",""
1537180,older sister started swimming i was very attached to her and so i left artistic gymnastics and followed her but i had a pretty bad time i didnt like it,stand up and fight is tattooed on her left arm
1537183,her parents competed in athletics at university and her father introduced her to the hurdles she was later recruited by coach and twotime olympian edrick floreal  when she was at high school,as athletes we do need to take more time to take care of ourselves and put ourselves first and not paying attention to what everybody else is saying and stop talking to prove a point to people you dont have to say nothing especially to prove nothing to nobody just show up do what you do
1537185,his father sailed and signed him up to a sailing school in the caribbean,""
1537187,"",looking ahead and anticipating problems is the secret to being a great sailor keep things simple and always be one step ahead of others
1537188,"",""
1537189,"",""
1537191,"",""
1537203,i like the hurdles because it demands a lot of focus and i am the sort of person who loves to focus i just kept going back each year to hurdles training and slowly improved,anything is possible i dont think limits  usain bolt
1537204,"",""
1537209,"",""
1537256,her father terry  who is a weightlifting coach for the marshall islands  and other friends encouraged sasser who previously trained in sprinting to try the sport they wanted me to try it out so at one point i said okay im just gonna come in and try it out but thats for only today so i went in and it was crazy  i was able to lift more than people who were already there long story short a couple of months later i fell in love with it i couldnt get it out of my mind i couldnt stay out of the gym,""
1537272,"",""
1537273,"",if there are no struggles then there will be no process
1537276,"",""
1537286,"",""
1537287,her older brother did judo and gymnastics before focusing only on gymnastics she started to do a bit of judo but only once a week because she was still training in gymnastics three times a week then she had tests which suggested she would be too tall for gymnastics so she too decided to focus on judo it was the backup it wasnt my first choice,""
1537312,"",""
1537323,"",""
1537325,"",the pain that youre feeling cant compare to the joy thats coming uses this verse from the bible to get through low moments and move forward
1537331,"",""
1537336,"",""
1537345,was encouraged by her mother and older brother to become an athlete,""
1537349,she switched from gymnastics to taekwondo with encouragement from her father my father noticed my talent when i was young and since i was born into a sports family they supported me greatly my father is the one who led me to pursue a career in taekwondo,""
1537368,"",""
1537375,"",""
1537376,was inspired to take up a martial art after watching jackie chan movies i used to be a bad boy and my mother wanted me to be a good boy so she sent me to a taekwondo centre,""
1537377,he took it up as a hobby and also because he wanted to go to the olympic games,""
1537394,"",""
1537401,"",""
1537402,his father is a retired army veteran he also sailed but did not have the resources to pursue it professionally he introduced both his children to the sport,""
1537405,started at summer camp at the tamil nadu sailing association she tried many sports as a youth but loved the mental and physical aspects of sailing so decided to focus her efforts there,""
1537465,"",""
1537510,"",""
1537518,one day my father came to pick me up at school and he saw on the notice board that a minimarathon would happen in mar del plata he asked me if i wanted to run and i said yes i won that race which was 1200m my father told some friends this story at a barbecue and they advised him to look up coach leonardo malgor and that is where i  started,""
1537531,"",""
1537538,"",""
1537547,"",""
1537549,"",""
1537579,"",""
1537661,"",""
1537667,"",""
1537686,i started swimming when i was a kid and i had to stop because of my studies i wanted to do sailing and in algiers the sailing and rowing club are in the same building my dad went to sign me up for the wrong sport so i started rowing the next day and that piqued my interest seeing the boats on the water etc i never stopped ever since,""
1537927,his father was a member of the argentina shooting national team and he accompanied his father to his training sessions and competitions from a young age,hard work always pays off
1537929,my dad used to do it when he was young my curiosity  got the better of me little by little and i started to ask him to teach me about this sport,believe in yourself as you believe in me
1537932,brher father was involved in the sport and encouraged her to try it,i dont believe that destiny is written down in advance i think that the future is defined by ourselves and we need to take profit from all that happens to us
1538007,grew up on an island swimming isnt just a sport its an important thing for your survival its nice to understand from childhood the importance of a sport that can save your life,""
1538028,started in optimist at the local yacht club then moved up to 29er,""
1538040,"",""
1538041,i started because my old man sailed but he didnt race regattas or anything afterwards a very good group was formed and today we are still friends and i think that was the main reason three years later he started competing,""
1538044,"",""
1538048,grew up near the water and learned at a young age to ride the waves and sail with an inflatable kite the kind her parents used as a hobby during family vacations in monte grande,""
1538059,"",""
1538078,"",""
1538084,his father enrolled him into the mahrashtra governments primary sporting programme and he had to choose one sport he decided to take up shooting,""
1538096,as the youngest of three children she became interested in table tennis after watching her siblings play my older sister used to play before i was born she influenced me at the early stages of my career and always pushed me to work harder,always in my mind india is first and i come second whenever i go to tournaments i remind myself that i havent come here for myself but rather to win something for india
1538104,his parents encouraged him to take up the sport we had a table tennis table at our home so my parents used to play on weekends one day i became interested buti was not even the height of the table so i stood behind the table i think six or seven feet and whenever the ball came i was able to return it thats how i got interested as a hobby at home,""
1538124,her mother and grandmother enrolled her in the sport the coaches did not want to take me into the group they said i was too young but then they saw that i had potential and allowed me to join for the first six months i was floundering on my own and then i started working with coaches later i was invited to take up athletics and until the 10th grade i was involved in school competitions as well as crosscountry skiing i also danced and tried to keep up with everything but eventually i decided to focus on swimming,dont stop at what has been achieved already
1538136,"",""
1538146,started as a summer vacation hobby while visiting her familys shooting range at their village in siana,""
1538150,parents put him into lots of sports to use up energy including ballroom dancing basketball and swimming due to health reasons he was advised to swim more often and he really enjoyed it at age 10 he focused only on swimming,enjoy every moment as it comes
1538151,"",""
1538153,i got into swimming by accident one day my grandmother called and offered to go to the pool after school my grandmother swam at the centre and told me not to swim after her  it was deep and dangerous there i swam anyway when we were leaving coach victoria astakhova noticed me and invited me for trial,theres magic on the other side of fear
1538154,she was introduced to the sport by her mother who had competed in shooting at national level in india she then joined the national cadet corps  programme at her school i started with pistol shooting but when i joined the ncc there were only rifles available i experimented with rifle shooting and found it more interesting from that day pistols became passe,struggle is needed and is important to achieve anything
1538157,"",""
1538159,she was keen on boxing and tennis before her father encouraged her to take up shooting love to try new different things different sports different cultural activities,live life big time
1538160,"",""
1538161,i have tried almost all sports except cricket football and volleyball my parents both played badminton and my father was also a statelevel volleyball player so there were no restrictions when i was handed my weapon and asked to take it up i started just for fun but later on i became serious about it no other sport gave me the satisfaction i wanted but once i started shooting seriously i got to know that this is the pushback i really wanted in other sports say boxing you can hit the person harder and remove your frustration but in shooting it is more challenging you have to make yourself calmer thats what attracted me to the sport,10m air rifle needs a lot of precision we cant just shoot a 102 instead of a 109 i think in shooting precision is way higher than any other sport a shot may work or may not work precision and patience are the best key elements in this event and these aspects excite me the most
1538190,"",""
1538193,first played at an uncles house and usually played against her brother he loved the game much more than me and i just happened to be there but he was very nice to me as well sometimes he would deliberately lose to me so that i wouldnt cry,""
1538234,"",""
1538243,"",""
1538244,"",""
1538253,"",""
1538260,"",""
1538261,"",""
1538262,"",""
1538263,"",""
1538266,"",""
1538274,"",""
1538276,"",""
1538277,followed her mother into the sport,""
1538294,"",""
1538295,"",""
1538299,"",""
1538304,"",""
1538305,"",""
1538363,"",""
1538365,"",""
1538366,followed his brothers into the sport,""
1538367,"",""
1538370,"",""
1538372,"",""
1538375,his father and grandfather were hockey players,""
1538378,"",""
1538379,"",""
1538380,"",""
1538386,she was discovered by a talent scout at high school i participated in a school talent search and after six months of training i was selected by a coach who invited me to the national camp,""
1538396,"",""
1538415,"",""
1538421,there was a shooting range near her home and her father suggested she try the sport i chose because of my fathers job  before choosing shooting i liked badminton and skating,just enjoy your journey
1538436,"",""
1538442,she had some free time during a gap year between her bachelors and masters degrees so she started sport shooting,""
1538449,"",""
1538482,she loved the activities and the atmosphere,""
1538488,he fell in love with judo as soon as he tried it,""
1538504,"",when you want something you have to give your best
1538505,"",""
1538622,"",""
1538627,"",""
1538632,"",""
1538648,"",""
1538662,she needed something to do with her free time and her older sisters were involved in the sport i used to be in track and field but i got bored of running i never thought of doing any other sport apart from canoeing,""
1538729,"",""
1538734,"",""
1538737,"",""
1538740,"",""
1538741,"",""
1538742,"",""
1538800,i wanted to try kayaking so with pocket money my mother gave me i leased a kayak and went out on the water i didnt tell her because she was afraid i could have an accident then i began training fortunately my mother learned about the sport and realised i was not in danger after that she began accompanying me to every competition i love being on the water trying to go fast,""
1538830,"",""
1538875,his father who was involved in track and road cycling inspired him to take up the sport,""
1538878,"",""
1538893,"",never allow someone to do your count down or your uprising
1538903,"",""
1538904,"",""
1538910,i was a member of a local swim club loved running and owned a bike so my mum entered me in a kids triathlon i loved it and after the race joined the local kids triathlon club  a few of my friends also did the same from then on i was hooked on the sport,pain is temporary but glory is forever
1538934,"",""
1538935,"",""
1538937,"",""
1538939,"",all things are possible
1538999,"",""
1539000,"",""
1539008,"",""
1539114,his father used to play badminton,i figured out a few years back that the reason for inconsistent performances was that i was thinking that how well you play is determined just by the time you spend on the court in fact i needed to be doing a lot of things off the court
1539123,he followed his father into the sport,""
1539125,"",""
1539131,his parents played handball but he decided to follow his older brother into athletics he was advised by a coach to take up throwing my dad once told me he was really good at doing squats when he was younger and i got that physical talent from him but i got the mentality from my mum  when she wants something done she will get it done after trying discus and javelin it became quickly clear that i would stick with shot put,""
1539157,her father played volleyball i would accompany him to the volleyball courts when i was very young there was a badminton court beside the volleyball courts and i initially only played for fun but i gradually developed a great interest and love for badminton,the greatest asset is a strong mind if i know that someone is training harder than i am i have no excuses
1539180,"",believe achieve repeat
1539183,she was encouraged by her father clifford who became her first coach,""
1539188,"",enjoy the journey and make the most of the opportunity you have
1539303,"",""
1539314,"",""
1539328,at first i was inspired by  gabriela szabo i didnt think i would become a high jumper but something put me on this path and i am happy with the choice i made,""
1539340,"",""
1539342,"",""
1539412,"",""
1539497,"",""
1539505,"",""
1539510,"",""
1539530,"",""
1539532,"",""
1539540,"",""
1539547,the original goal was to become faster than his brother ouzzy  who played football and also did track later it became a pathway to college education at the time we were living with my mom and she was raising three of us i did not want to burden her with how to pay for my college so i wanted to use track as a way to fund my college,sprinting is an art
1539548,"",""
1539607,his father encouraged him to take up the sport,""
1539611,he enjoyed playing with toy guns as a child he was also inspired to try the sport by his cousin navdeep singh rathore who represented india in shooting at the 2010 youth olympic games in singapore,""
1539615,was influenced by his father who was a skeet shooter,""
1539628,used to participate in the modern pentathlon and represented india at junior level shooting was his favourite sport in the modern pentathlon events and he decided to concentrate on it it was difficult to train for all five of them so i chose shooting i had better results in shooting and it was more interesting for me,i have a lot of respect for the medal that i won at the world cup finals but even if i didnt win i wouldnt have been disappointed because i could see myself improving i dont overreact on winning or losing im not just expecting to win my hunger is to improve
1539636,his father encouraged him to take up the sport,""
1539643,realised he that he had a limited future in swimming in india after attending an international competition in austria they were way ahead of us in training methods and techniques realising there was no scope of the water sports progress in india i switched to shooting,""
1539683,"",""
1539720,started shooting while serving in the army in the army we have a training with the insas rifle an assault weapon when i fired that for the first time i really liked it my shooting with that rifle was also good so the superiors decided to let me try for the sport in the shooting trials too i was good and i liked holding that rifle firing with it my coach in the centre said back then that i was a natural shooter,whatever happens will happen
1539747,i was an accidental shooter a shotgun shooter my cousin introduced me to shooting my first state event went well and all my relatives told my parents that i should go for shooting,if one is enjoying what they are doing should be the mantra to success
1539752,one of her fathers friends was a national level skeet shooter and he took her to a shooting range for a sunday picnic she enjoyed the sound of the guns and became interested in the sport,keep enjoying what you do never give up your dreams
1539754,"",""
1539757,influenced by her father randhir singh,""
1539767,with my father in the police force i was used to being around guns i wasnt scared of firearms i was interested in sports but never really wanted to take them up professionally until one day my parents told me that shooting is a sport as well when we went to the range i got really fascinated by it the sound of guns firing and the ammunition  it all really excited me,age is just a number whether you are 15 or 50 or 19 it doesnt matter shooting is more of a mental game so age doesnt matter
1539849,"",""
1539886,his father a former international fencer for argentina introduced him to the sport it is not easy to practise a sport that your parents and family did well you feel a little pressure when i was a kid i struggled with that i played basketball instead up until i was 14 what i liked the most  was the independence that it gives you i struggled to compete as a member of a team in basketball the coach may not call you up for the next game in fencing if you qualify you go and compete,""
1539948,"",""
1539950,his father played rugby while the family lived in the usa growing up dad always tried to have a bit of rugby in our lives it was obviously difficult living in new york trying to get some rugby dad ended up finding a little bit of a rugby club out there where he would go and coach the kids,create your own luck
1539951,"",""
1539952,i was enjoying the sevens a hell of a lot the travel around it and the freedom so i was like if im going to be honest with myself i play rugby because i enjoy it obviously its great if you can make a career out of it for a bit but i want to be playing something i enjoy and the sevens was that for me,""
1539954,"",""
1539959,"",""
